# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      
belloc               foil_left              6.062500000000e-01  -2.244628452423e-02  -4.977174128924e-01   1.176953933686e-01   2.530748407643e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.764839065596e-02   2.696828771895e-03   3.500394832925e+00   0.000000000000e+00  -3.752096021671e+01   2.335495724726e-01  -2.942269928477e+00   6.490950321638e+05   1.105203007925e-01   4.740356271919e-01   0.000000000000e+00   1.200000000000e-02  -2.007706907788e-02
belloc               foil_left              5.937500000000e-01  -2.149336483859e-02  -4.890140030398e-01   1.115467088752e-01   2.577253492628e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.037549284745e-02   2.746385753081e-03   3.444622657680e+00   0.000000000000e+00  -3.781494126085e+01   4.402859690431e-01  -2.904307732880e+00   6.667168662457e+05   1.114040718060e-01   4.682791353466e-01   0.000000000000e+00   1.200000000000e-02  -2.006477655005e-02
belloc               foil_left              5.812500000000e-01  -2.073893343777e-02  -4.794430395464e-01   1.069583123430e-01   2.616395027624e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.999219766356e-02   2.788095951312e-03   3.637771124075e+00   0.000000000000e+00  -3.651198695298e+01   3.133340531949e-01  -2.713789477352e+00   6.539069199843e+05   1.075448702269e-01   4.878746107078e-01   0.000000000000e+00   1.200000000000e-02  -2.004908927402e-02
belloc               foil_left              5.687500000000e-01  -2.004048591214e-02  -4.696273814365e-01   1.028099970306e-01   2.650234806630e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   2.824156465815e-03   3.434646596809e+00   0.000000000000e+00  -3.843374205813e+01   4.058572946100e-01  -2.676445963163e+00   6.972628443721e+05   1.131762896696e-01   4.671346222061e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              5.562500000000e-01  -1.934203838652e-02  -4.598117233265e-01   9.866168171820e-02   2.684074585635e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   2.860216980318e-03   3.406339311601e+00   0.000000000000e+00  -3.884323548600e+01   3.987061733162e-01  -2.679111103984e+00   7.136439151783e+05   1.143747794336e-01   4.642493390732e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              5.437500000000e-01  -1.864359086089e-02  -4.499960652166e-01   9.451336640582e-02   2.717914364641e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   2.896277494820e-03   3.397913949101e+00   0.000000000000e+00  -3.901873145474e+01   3.858200451880e-01  -2.678678048538e+00   7.258774572505e+05   1.148869824217e-01   4.633905652297e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              5.312500000000e-01  -1.794514333527e-02  -4.401804071066e-01   9.036505109344e-02   2.751754143646e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   2.932338009323e-03   3.394084471312e+00   0.000000000000e+00  -3.910990758355e+01   3.730731346243e-01  -2.676253651836e+00   7.366098251502e+05   1.151519138757e-01   4.630002371746e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              5.187500000000e-01  -1.724669580964e-02  -4.303647489966e-01   8.621673578107e-02   2.785593922652e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   2.968398523826e-03   3.391272956763e+00   0.000000000000e+00  -3.915840485341e+01   3.614297478380e-01  -2.672303417688e+00   7.465733516963e+05   1.152916780056e-01   4.627136672906e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              5.062500000000e-01  -1.654824828402e-02  -4.205490908867e-01   8.206842046869e-02   2.819433701657e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   3.004459038329e-03   3.388465075901e+00   0.000000000000e+00  -3.917950529926e+01   3.509645441394e-01  -2.667093962546e+00   7.560321529172e+05   1.153510790296e-01   4.624274677779e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
belloc               foil_left              4.937500000000e-01  -1.584980075839e-02  -4.107334327767e-01   7.792010515631e-02   2.853273480663e-01   0.000000000000e+00   3.998549316319e-01  -6.544984694979e-02  -6.544984694979e-02   3.040519552831e-03   3.385502721045e+00   0.000000000000e+00  -3.917865096476e+01   3.415221723628e-01  -2.660794660958e+00   7.650730762611e+05   1.153460697993e-01   4.621255231591e-01   0.000000000000e+00   1.200000000000e-02  -2.004291341615e-02
